brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Kramer,The 84,2021,,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,41.3,Alder,Superstrat,6-in-line,None,Indonesia,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Floyd Rose R2 Locking Nut Tuners,Kramer USA Eruption T Humbucker,,
Kramer,Baretta,2021,,6,25.5,25.5,22,Nickel-silver,false,Maple,14 in,Bolt-on,Maple,Slim C,,,41.3,Maple,Superstrat,6-in-line,None,Indonesia,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Floyd Rose R2 Locking Nut Tuners,Seymour Duncan JB SH-4,,
Kramer,Baretta Special,2021,,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,42.7,Mahogany,Superstrat,6-in-line,None,China,Kramer Traditional Tremolo,Kramer Plastic Nut,Kramer Deluxe Die-Cast Tuners,Kramer Alnico 5 HB-1 Humbucker,,
Kramer,Pacer Classic,2022,,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,41.3,Alder,Superstrat,6-in-line,3-way toggle,China,Floyd Rose Licensed Tremolo,Floyd Rose R2 Locking Nut,Kramer Die Cast Tuners,Kramer Alnico 5 Classic Humbucker,,Kramer Alnico 5 Classic Humbucker
Kramer,Pacer Vintage,2021,,6,25.5,25.5,22,Nickel-silver,false,Maple,14 in,Bolt-on,Maple,Slim C,,,41.3,Maple,Superstrat,6-in-line,3-way toggle,Indonesia,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Kramer Deluxe Die-Cast Tuners,Seymour Duncan JB SH-4,,Seymour Duncan JN
Kramer,Pacer Deluxe,2025,,6,25.5,25.5,22,Nickel-silver,false,Maple,,Bolt-on,Roasted Maple,Modern C,,,41.3,Alder,Superstrat,6-in-line,5-way,,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Floyd Rose R2 Locking Nut Tuners,Kramer USA Golden Classic Humbucker,Kramer USA Triton Noiseless Single-Coil,Kramer USA Triton Noiseless Single-Coil
Kramer,SM-1,2021,,6,25.5,25.5,24,Nickel-silver,false,Ebony,14 in,Neck-through,Mahogany,Slim C,,,41.3,Mahogany,Superstrat,6-in-line,5-way,Indonesia,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Kramer Die Cast Mini Tuners,Seymour Duncan JB SH-4,Seymour Duncan Cool Rails,Seymour Duncan Cool Rails
Kramer,SM-1 H,2022,,6,25.5,25.5,24,Nickel-silver,false,Ebony,,Neck-through,Mahogany,Slim C,,,41.3,Mahogany,Superstrat,6-in-line,None,Indonesia,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Kramer Die Cast Mini Tuners,Seymour Duncan JB SH-4,,
Kramer,Assault 220,2018,,6,25.5,25.5,24,Nickel-silver,false,Ebony,14 in,Set-neck,Mahogany,Slim C,,,41.3,Mahogany,Single-cut,6-in-line,3-way,Indonesia,Floyd Rose Licensed Tremolo,Floyd Rose R2 Locking Nut,Kramer Die Cast Mini Tuners,Kramer Alnico 5 HB-1 Humbucker,,Kramer Alnico 5 HB-1 Humbucker
Kramer,Nightswan,2022,,6,24.748,24.748,24,Nickel-silver,false,Ebony,16 in,Bolt-on,Maple,C-Shape,,,41.3,Mahogany,Superstrat,6-in-line,3-way,Indonesia,Floyd Rose 1000 Series Tremolo,Floyd Rose R2 Locking Nut,Kramer Die Cast Mini Tuners,Seymour Duncan JB SH-4,,Seymour Duncan JB SH-4
Kramer,Charlie Parra Vanguard,2021,,6,24.724,24.724,24,Nickel-silver,false,Ebony,,Bolt-on,3-piece Maple,Slim C,20.1,22.7,43.0,Mahogany,Flying V,6-in-line,3-way toggle,Indonesia,Kramer LockTone Tune-O-Matic,Kramer Plastic Nut,Kramer Die Cast Mini Tuners,EMG 57,,EMG 66
Kramer,Striker HSS,2022,,6,25.5,25.5,24,Nickel-silver,false,Indian Laurel,,Bolt-on,Maple,Slim C,,,41.3,Mahogany,Superstrat,6-in-line,5-way,China,Floyd Rose Licensed Tremolo,Floyd Rose R2 Locking Nut,Kramer Die Cast Tuners,Kramer Alnico 5 HB-1 Humbucker,Kramer Alnico 5 SC-1 Single-Coil,Kramer Alnico 5 SC-1 Single-Coil
Kramer,Focus VT-211S,2021,,6,25.5,25.5,21,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,42.7,Mahogany,Superstrat,6-in-line,5-way,China,Kramer Traditional Tremolo,Kramer Plastic Nut,Kramer Die Cast Tuners,Kramer Alnico 5 HB-1 Humbucker,Kramer Alnico 5 SC-1 Single-Coil,Kramer Alnico 5 SC-1 Single-Coil
