brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Schecter,C-1 Custom,,2020,6,24.75,24.75,24,Nickel-silver,false,Ebony,14 in,Set-neck,Mahogany,Thin C,20.1,22.1,42.0,Mahogany/Quilted Maple Top,Superstrat,6-in-line,3-way,South Korea,TonePros T3BT TOM,Black TUSQ XL Nut,Schecter Locking Tuners 6,SH-11 Custom Custom,,SH-1N 59
Schecter,C-1 Platinum,,2022,6,25.5,25.5,24,Nickel-silver,false,Ebony,14 in,Set-neck,Mahogany,Thin C,20.1,22.1,42.0,Mahogany,Superstrat,6-in-line,3-way,South Korea,TonePros T3BT TOM,Black TUSQ XL Nut,Schecter Locking Tuners 6,EMG 57,,EMG 66
Schecter,C-1 SLS Elite,2018,,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple/Walnut,Ultra-Thin,19.0,20.0,42.0,Swamp Ash/Maple Top,Superstrat,6-in-line,3-way,South Korea,Hipshot Hardtail String-Thru,Black TUSQ XL Nut,Schecter Locking Tuners 6,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
Schecter,C-1 SLS Custom,2018,,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple/Walnut,Ultra-Thin,19.0,20.0,42.0,Swamp Ash,Superstrat,6-in-line,3-way,Indonesia,Hipshot Hardtail String-Thru,Black TUSQ XL Nut,Schecter Locking Tuners 6,Fishman Fluence Modern Ceramic,,Fishman Fluence Modern Alnico
Schecter,C-1 FR S SLS Elite,2018,,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple/Walnut,Ultra-Thin,19.0,20.0,41.3,Swamp Ash/Maple Top,Superstrat,6-in-line,3-way,South Korea,Floyd Rose 1500 Series,Floyd Rose 1500 Locking Nut,Schecter Locking Tuners 6,Fishman Fluence Modern Ceramic,,Sustainiac
Schecter,Hellraiser C-1,,2022,6,25.5,25.5,24,Nickel-silver,false,Rosewood,14 in,Set-neck,Mahogany,Thin C,20.1,22.1,42.0,Mahogany,Superstrat,6-in-line,3-way,South Korea,TonePros T3BT TOM,Black TUSQ XL Nut,Schecter Locking Tuners 6,EMG 81TW,,EMG 89R
Schecter,Hellraiser C-7,,2022,7,26.5,26.5,24,Nickel-silver,false,Rosewood,16 in,Set-neck,Mahogany,Thin C,20.1,22.1,48.0,Mahogany,Superstrat,7-in-line,3-way,South Korea,TonePros T3BT TOM,Black TUSQ XL Nut,Schecter Locking Tuners 7,EMG 707TW,,EMG 707TW
Schecter,Hellraiser C-8,,2022,8,28.0,28.0,24,Nickel-silver,false,Rosewood,16 in,Set-neck,Mahogany,Thin C,20.1,22.1,54.0,Mahogany/Quilted Maple Top,Superstrat,8-in-line,3-way,South Korea,Hipshot Hardtail String-Thru,Black TUSQ XL Nut,Schecter Locking Tuners 8,EMG 808,,EMG 808
Schecter,Banshee Elite-6,,2021,6,25.5,25.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple/Walnut,Ultra-Thin,,,42.0,Swamp Ash/Maple Top,Superstrat,6-in-line,3-way,South Korea,Hipshot Hardtail String-Thru,Black TUSQ XL Nut,Schecter Locking Tuners 6,USA SuperCharger Mach-6,,USA SuperCharger Mach-6
Schecter,Banshee Elite-7,,2021,7,26.5,26.5,24,Stainless steel,false,Ebony,Compound 12-16 in,Neck-through,Maple/Walnut,Ultra-Thin,,,48.0,Swamp Ash/Maple Top,Superstrat,7-in-line,3-way,South Korea,Hipshot Hardtail String-Thru,Black TUSQ XL Nut,Schecter Locking Tuners 7,USA SuperCharger Mach-7,,USA SuperCharger Mach-7
