brand,name,bridge_type,has_piezo,is_locking,description
Wilkinson,Wilkinson VS50,2-point synchronized tremolo,false,false,Classic 2-point pivot knife-edge tremolo with precision machined hardened steel base plate and locked-down stainless steel saddles
Wilkinson,Wilkinson VSVG,2-point synchronized tremolo,false,false,Vintage-feel 2-point tremolo with 5+1 knife edge system; stagger-drilled block and spring steel bent saddles for classic vintage tone
Wilkinson,Wilkinson VS100N,2-point synchronized tremolo,false,false,Original 1986 VS100N 2-pivot knife-edge vibrato with half-moon locating pivot for exceptional tuning stability
Wilkinson,Wilkinson WVP,Vintage synchronized tremolo,false,false,Vintage 6-screw synchronized tremolo with barrel nickel-plated bent steel saddles and stagger-drilled block; balances vintage values and modern stability
Wilkinson,Wilkinson WVPB,Vintage synchronized tremolo,false,false,Vintage 6-screw synchronized tremolo; brass saddle variant of the WVP offering classic vintage tone
Wilkinson,Wilkinson WVS50IIK,2-point synchronized tremolo,false,false,Platinum series 2-point tremolo inspired by the VS100N; virtually friction-free knife-edge pivot with total control arm system
Wilkinson,Wilkinson WT3,String-through hardtail,false,false,Pro series T-style 4-hole hardtail bridge with revolutionary compensated saddle design for precise intonation; preferred by boutique brands
Wilkinson,Wilkinson WTB,String-through hardtail,false,false,Platinum series Telecaster ashtray hardtail bridge with three compensated brass saddles; supports top-load or string-through-body mounting
Wilkinson,Wilkinson WTBS,String-through hardtail,false,false,Classic 3-saddle Telecaster hardtail bridge with compensated brass saddles; 54mm string spacing for rich vintage tone
Wilkinson,Wilkinson GTB,Wraparound,false,false,Adjustable intonated wraparound bridge/tailpiece for Les Paul style guitars; individually adjustable compensated saddles including G and B
