brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Fender,Player II Stratocaster,2024,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,Fender ClassicGear,Player Series Alnico 5 Strat,Player Series Alnico 5 Strat,Player Series Alnico 5 Strat
Fender,Player II Stratocaster HSS,2024,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,Fender ClassicGear,Player Series Alnico 2 Humbucker,Player Series Alnico 5 Strat,Player Series Alnico 5 Strat
Fender,Player II Telecaster,2024,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.0,Alder,Telecaster,6-in-line,3-way,Mexico,Fender 6-Saddle Tele String-Through,Fender Synthetic Bone Nut,Fender ClassicGear,Player Series Alnico 5 Tele,,Player Series Alnico 5 Tele
Fender,American Professional II Stratocaster,2020,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Deep C,20.3,23.4,42.8,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender 2-Point Synchronized Tremolo Cold-Roll Steel,Fender Bone Nut,Fender Deluxe Cast Sealed Locking,V-Mod II Single-Coil Strat,V-Mod II Single-Coil Strat,V-Mod II Single-Coil Strat
Fender,American Professional II Telecaster,2020,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Deep C,20.3,23.4,42.8,Alder,Telecaster,6-in-line,3-way + push-pull,USA,Fender 3-Saddle AP II Tele Bridge,Fender Bone Nut,Fender Standard Cast Sealed Staggered,V-Mod II Single-Coil Tele Bridge,,V-Mod II Single-Coil Tele Neck
Fender,American Professional II Jazzmaster,2020,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Deep C,20.3,23.4,42.8,Alder,Offset,6-in-line,3-way + push-pull,USA,,Fender Bone Nut,Fender Standard Cast Sealed Staggered,V-Mod II Single-Coil Jazzmaster,,V-Mod II Single-Coil Jazzmaster
Fender,American Ultra II Stratocaster,2024,,6,25.5,25.5,22,Nickel-silver,false,Maple,,Bolt-on,Quartersawn Maple,,,,42.8,Alder,Stratocaster,6-in-line,5-way + push-pull,USA,Fender 2-Point Ultra Synchronized Tremolo,Fender TUSQ Nut,Fender Deluxe Cast Sealed Locking,Ultra II Noiseless Vintage Strat,Ultra II Noiseless Vintage Strat,Ultra II Noiseless Vintage Strat
Fender,American Vintage II 1957 Stratocaster,2022,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,Soft V,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender Vintage Synchronized Tremolo Chrome Cover,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Pure Vintage 57 Single-Coil Strat,Pure Vintage 57 Single-Coil Strat,Pure Vintage 57 Single-Coil Strat
Fender,American Vintage II 1961 Stratocaster,2022,,6,25.5,25.5,21,Nickel-silver,false,Rosewood,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender Vintage Synchronized Tremolo Chrome Cover,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Pure Vintage 61 Single-Coil Strat,Pure Vintage 61 Single-Coil Strat,Pure Vintage 61 Single-Coil Strat
Fender,American Vintage II 1951 Telecaster,2022,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,U-Shape,,,42.0,Ash,Telecaster,6-in-line,3-way,USA,Fender Pure Vintage 3-Saddle Tele Bridge,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Pure Vintage 51 Single-Coil Tele Bridge,,Pure Vintage 51 Single-Coil Tele Neck
Fender,American Vintage II 1972 Telecaster Thinline,2022,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Ash,Telecaster,6-in-line,3-way,USA,Fender 6-Saddle String-Through Tele Hardtail,Fender Bone Nut,Fender Pure Vintage Single Line Fender,Wide-Range CuNiFe Humbucker,,Wide-Range CuNiFe Humbucker
Fender,American Performer Stratocaster,2018,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Stratocaster,6-in-line,5-way blade,USA,Fender Vintage Synchronized Tremolo 6-Screw,Fender Synthetic Bone Nut,Fender ClassicGear,Yosemite Single-Coil Strat,Yosemite Single-Coil Strat,Yosemite Single-Coil Strat
Fender,American Performer Telecaster,2018,,6,25.5,25.5,22,Nickel-silver,false,Rosewood,9.5 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Telecaster,6-in-line,3-way,USA,Fender 3-Saddle Tele Compensated Bridge,Fender Synthetic Bone Nut,Fender ClassicGear,Yosemite Single-Coil Tele Bridge,,Yosemite Single-Coil Tele Neck
Fender,Vintera II 50s Stratocaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,Soft V,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender Vintage Synchronized Tremolo 6-Screw,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 50s Strat Single-Coil,Vintera 50s Strat Single-Coil,Vintera 50s Strat Single-Coil
Fender,Vintera II 60s Stratocaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Rosewood,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender Vintage Synchronized Tremolo 6-Screw,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 60s Strat Single-Coil,Vintera 60s Strat Single-Coil,Vintera 60s Strat Single-Coil
Fender,Vintera II 60s Telecaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Rosewood,7.25 in,Bolt-on,Maple,C-Shape,,,42.0,Alder,Telecaster,6-in-line,3-way,Mexico,Fender 3-Saddle Tele Vintage Bridge,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 60s Tele Single-Coil,,Vintera 60s Tele Single-Coil
Fender,Vintera II 50s Telecaster,2023,,6,25.5,25.5,21,Nickel-silver,false,Maple,7.25 in,Bolt-on,Maple,U-Shape,,,42.0,Alder,Telecaster,6-in-line,3-way,Mexico,Fender 3-Saddle Tele Vintage Bridge,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Vintera 50s Tele Single-Coil Bridge,,Vintera 50s Tele Single-Coil Neck
Fender,Player Plus Stratocaster,2021,2024,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Stratocaster,6-in-line,5-way blade,Mexico,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,Fender Deluxe Cast Sealed Locking,Player Plus Noiseless Strat,Player Plus Noiseless Strat,Player Plus Noiseless Strat
Fender,Player Plus Nashville Telecaster,2021,2024,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Modern C,,,42.8,Alder,Telecaster,6-in-line,5-way + push-pull,Mexico,Fender 6-Saddle Tele String-Through,Fender Synthetic Bone Nut,Fender Deluxe Cast Sealed Locking,Player Plus Noiseless Tele,Player Plus Noiseless Tele,Player Plus Noiseless Tele
Squier,Classic Vibe 60s Stratocaster,2019,,6,25.5,25.5,21,Nickel-silver,false,Indian Laurel,9.5 in,Bolt-on,Maple,C-Shape,,,42.0,Nyatoh,Stratocaster,6-in-line,5-way blade,Indonesia,Fender Vintage Synchronized Tremolo 6-Screw,Fender Bone Nut,Fender Vintage Style No Logo,Fender Designed Alnico Single-Coil Strat,Fender Designed Alnico Single-Coil Strat,Fender Designed Alnico Single-Coil Strat
Squier,Classic Vibe 50s Telecaster,2019,,6,25.5,25.5,21,Nickel-silver,false,Maple,9.5 in,Bolt-on,Maple,C-Shape,,,42.0,Poplar,Telecaster,6-in-line,3-way,China,Fender 3-Saddle Tele Vintage Bridge,Fender Synthetic Bone Nut,Fender Vintage Style No Logo,Fender Designed Alnico Single-Coil Tele,,Fender Designed Alnico Single-Coil Tele
Squier,Contemporary Stratocaster HH,2018,2021,6,25.5,25.5,22,Nickel-silver,false,Maple,12 in,Bolt-on,Maple,Slim C,,,42.0,Poplar,Stratocaster,6-in-line,3-way,China,Fender 2-Point Synchronized Tremolo,Fender Synthetic Bone Nut,,SQR Ceramic Humbucker,,SQR Ceramic Humbucker
