brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Strandberg,Boden Original NX 6,2021,,6,25.0,25.5,24,Stainless steel,false,Birdseye Maple,20 in,Bolt-on,Maple,EndurNeck,,,42.0,Swamp Ash/Maple Top,Headless,Headless,5-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Suhr SSH+,,Suhr SSV
Strandberg,Boden Original NX 7,2021,,7,25.5,26.25,24,Stainless steel,false,Birdseye Maple,20 in,Bolt-on,Maple,EndurNeck,,,49.0,Swamp Ash/Maple Top,Headless,Headless,3-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Fishman Fluence Modern 7 Ceramic,,Fishman Fluence Modern 7 Alnico
Strandberg,Boden Original NX 8,2021,,8,26.25,28.0,24,Stainless steel,false,Birdseye Maple,20 in,Bolt-on,Maple,EndurNeck,,,,Swamp Ash/Maple Top,Headless,Headless,3-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Fishman Fluence Modern 8 Ceramic,,Fishman Fluence Modern 8 Alnico
Strandberg,Boden Standard NX 6,2021,,6,25.0,25.5,24,Stainless steel,false,Maple,20 in,Bolt-on,Maple,EndurNeck,,,36.0,Basswood,Headless,Headless,5-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Strandberg OEM Humbucker,,Strandberg OEM Humbucker
Strandberg,Boden Standard NX 7,2021,,7,25.5,26.25,24,Stainless steel,false,Maple,20 in,Bolt-on,Maple,EndurNeck,,,,Basswood,Headless,Headless,5-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Strandberg OEM Humbucker,,Strandberg OEM Humbucker
Strandberg,Boden Standard NX 8,2021,,8,26.5,28.0,24,Stainless steel,false,Maple,20 in,Bolt-on,Maple,EndurNeck,,,49.0,Basswood,Headless,Headless,5-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Strandberg OEM Humbucker,,Strandberg OEM Humbucker
Strandberg,Boden Prog NX 6,2021,,6,25.0,25.5,24,Stainless steel,false,Richlite,20 in,Bolt-on,Maple,EndurNeck,,,,Swamp Ash/Maple Top,Headless,Headless,3-way + push-pull,Indonesia,Strandberg EGS Rev7 Tremolo,Strandberg EGS Headless Nut,,Suhr SSH+,,Suhr SSV
Strandberg,Boden Prog NX 7,2021,,7,25.5,26.25,24,Stainless steel,false,Richlite,20 in,Bolt-on,Maple,EndurNeck,,,,Swamp Ash/Maple Top,Headless,Headless,3-way + push-pull,Indonesia,Strandberg EGS Rev7 Tremolo,Strandberg EGS Headless Nut,,Fishman Fluence Modern 7 Ceramic,,Fishman Fluence Modern 7 Alnico
Strandberg,Boden Prog NX 8,2022,,8,26.5,28.0,24,Stainless steel,false,Richlite,20 in,Bolt-on,Maple,EndurNeck,,,,Swamp Ash/Maple Top,Headless,Headless,3-way + push-pull,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Fishman Fluence Modern 8 Ceramic,,Fishman Fluence Modern 8 Alnico
Strandberg,Boden Metal NX 6,2021,,6,25.0,25.5,24,Stainless steel,false,Ebonol,20 in,Bolt-on,Roasted Maple,EndurNeck,,,,Basswood/Maple Top,Headless,Headless,3-way,Indonesia,Strandberg EGS Rev7 Fixed,Strandberg EGS Headless Nut,,Suhr Aldrich Bridge,,Suhr Aldrich Neck
