brand,name,pickup_type,is_active,description
Fishman,Fluence Modern Humbucker 6-String Alnico,Humbucker,true,Multi-Voice 3-voice active humbucker set with Alnico V magnets delivering modern high-output tones and an ideal single-coil voice for 6-string guitars
Fishman,Fluence Modern Humbucker 6-String Ceramic,Humbucker,true,Multi-Voice 3-voice active humbucker set with Ceramic VIII magnets for cutting attack and aggressive crunch with a clean single-coil voice for 6-string guitars
Fishman,Fluence Modern Humbucker 7-String,Humbucker,true,Multi-Voice 3-voice active humbucker set available in Alnico and Ceramic versions for 7-string extended-range guitars
Fishman,Fluence Modern Humbucker 8-String,Humbucker,true,Multi-Voice 3-voice active humbucker set available in Alnico and Ceramic versions for 8-string extended-range guitars
Fishman,Fluence Classic Humbucker 6-String,Humbucker,true,Multi-Voice 3-voice active humbucker set with Alnico V magnets delivering clear vintage-leaning tones with hum-free noise performance
Fishman,Fluence Open Core Classic 6-String,Humbucker,true,Multi-Voice 3-voice open-core active humbucker set spanning explosive humbucking tones to crystal-clear single-coil sounds for 6-string guitars
Fishman,Fluence Open Core Classic 7-String,Humbucker,true,Multi-Voice 3-voice open-core active humbucker set for 7-string guitars spanning humbucking to single-coil voices with up to 200 hours battery life
Fishman,Fluence Single Width 6-String HSH/HSS Set,Single-coil,true,Multi-Voice active single-width pickup set for Strat-style guitars delivering hum-free single-coil tones in HSS and HSH configurations alongside Fluence humbuckers
Fishman,Fluence Tosin Abasi Signature 6-String,Humbucker,true,Signature 3-voice active humbucker set with ceramic bridge and alnico neck combining modern aggression passive punch and single-coil clarity for 6-string guitars
Fishman,Fluence Tosin Abasi Signature 7-String,Humbucker,true,Signature 3-voice active humbucker set with ceramic bridge and alnico neck delivering the most diverse tonal mix of any Fluence pickup for 7-string guitars
Fishman,Fluence Tosin Abasi Signature 8-String,Humbucker,true,Signature 3-voice active humbucker set with ceramic bridge and alnico neck designed for extended-range 8-string articulation and tonal versatility
Fishman,Fluence Devin Townsend Signature 6-String,Humbucker,true,Signature 2-voice active humbucker set with Ceramic VIII magnets spanning high-output modern metal to low-gain passive single-coil sweetness
Fishman,Fluence Killswitch Engage Signature 6-String,Humbucker,true,Signature 3-voice active humbucker set designed by Adam Dutkiewicz and Joel Stroetzel with ceramic bridge and alnico neck for tight modern metal tones
Fishman,Fluence Keith Merrow KM 7-String,Humbucker,true,Signature 3-voice active humbucker set with Alnico V and Open Core Classic neck delivering passive feel dynamics and P.A.F. roots for modern progressive metal
Fishman,Fluence Will Adler Signature 6-String,Humbucker,true,Signature 2-voice active humbucker set combining a Classic alnico neck with a ceramic bridge hybrid for thick passive drive and high-octane active saturation
Fishman,Fluence Stephen Carpenter Signature 6-String,Humbucker,true,Signature 3-voice active humbucker set with glow-in-the-dark accents and a crystal-clear single-coil Voice 3 designed by the Deftones guitarist
Fishman,Fluence Stephen Carpenter Signature 7-String,Humbucker,true,Signature 3-voice active humbucker set for 7-string guitars featuring glow-in-the-dark accents alnico and ceramic options and a single-coil voice
Fishman,Fluence Stephen Carpenter Signature 8-String,Humbucker,true,Signature 3-voice active humbucker set for 8-string guitars featuring glow-in-the-dark accents alnico and ceramic options and a single-coil voice
Fishman,Fluence Greg Koch Gristle-Tone Single Width 6-String,Single-coil,true,Signature 2-voice active single-width Strat-style set delivering Dynamic Strat and Midrange Boost voices with hum-free performance across clean to driven tones
Fishman,Fluence Greg Koch Gristle-Tone Telecaster 6-String,Single-coil,true,Signature 2-voice noiseless Telecaster pickup set with White Guard warmth and Black Guard punch voices for versatile T-style tones
Fishman,Fluence Greg Koch Gristle-Tone P90 6-String,P-90,true,Signature 3-voice active P90-style set delivering vintage P90 character and modern single-coil clarity with hum-free Fluence Core performance
