brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
ESP,E-II Eclipse Full Thickness,,,6,24.75,24.75,22,Stainless steel,false,Ebony,12 in,Set-neck,Mahogany,Thin U,,,42.0,Mahogany/Maple Top,Eclipse,3+3,3-way toggle,Japan,Gotoh TOM & Tailpiece,Bone Nut 42mm,Gotoh Locking Tuners,SD JB,,SD 59
ESP,E-II Eclipse DB,,,6,24.75,24.75,22,Stainless steel,false,Ebony,12 in,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Eclipse,3+3,3-way toggle,Japan,Gotoh TOM & Tailpiece,Bone Nut 42mm,Gotoh Locking Tuners,EMG 81,,EMG 60
ESP,E-II Horizon NT-II,,,6,25.5,25.5,24,Stainless steel,false,Ebony,12 in,Neck-through,3-piece Maple,Thin U,,,42.0,Mahogany,Horizon,6-in-line,3-way toggle,Japan,Gotoh TOM & Tailpiece,Bone Nut 42mm,Gotoh Locking Tuners,EMG 57TW,,EMG 66TW
ESP,E-II Horizon FR-II,,,6,25.5,25.5,24,Stainless steel,false,Ebony,12 in,Neck-through,3-piece Maple,Thin U,,,42.0,Mahogany/Quilted Maple Top,Horizon,6-in-line,3-way toggle,Japan,Floyd Rose Original,Locking Nut 42mm,Gotoh Locking Tuners,EMG 57TW,,EMG 66TW
ESP,E-II M-II,,,6,25.5,25.5,24,Stainless steel,false,Ebony,12 in,Neck-through,3-piece Maple,Thin U,,,42.0,Alder,Horizon,6-in-line,3-way toggle,Japan,Floyd Rose Original,Locking Nut 42mm,Gotoh Locking Tuners,EMG 81,,EMG 81
ESP,E-II Viper,,,6,24.75,24.75,22,Stainless steel,false,Ebony,12 in,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Viper,3+3,3-way toggle,Japan,Gotoh TOM & Tailpiece,Bone Nut 42mm,Gotoh Locking Tuners,Fishman Fluence Open Core Classic,,Fishman Fluence Open Core Classic
ESP,E-II Viper Baritone,,,6,27.0,27.0,24,Nickel-silver,false,Ebony,12 in,Neck-through,3-piece Maple,Thin U,,,42.0,Mahogany,Viper,3+3,3-way toggle,Japan,Gotoh TOM & Tailpiece,Bone Nut 42mm,Gotoh Locking Tuners,EMG 81,,EMG 60
ESP,E-II Horizon NT-7 EverTune,,,7,25.5,25.5,24,Nickel-silver,false,Ebony,12 in,Neck-through,3-piece Maple,Thin U,,,48.0,Alder,Horizon,7-in-line,3-way toggle,Japan,Evertune F Model,Graphite Nut 48mm,Gotoh Locking Tuners,EMG 81-7H,,EMG 85-7H
ESP,E-II Horizon NT-7B Hipshot,,,7,27.0,27.0,24,Stainless steel,false,Ebony,12 in,Neck-through,3-piece Maple,Thin U,,,48.0,Alder,Horizon,7-in-line,3-way toggle,Japan,Hipshot Fixed String-Thru,Bone Nut 48mm,Gotoh Locking Tuners,EMG 81-7H,,EMG 85-7H
ESP LTD,EC-1000,,,6,24.75,24.75,24,Stainless steel,false,Macassar Ebony,,Set-neck,Mahogany,Thin U,,,42.0,Mahogany,Eclipse,3+3,3-way toggle,South Korea,TonePros Locking TOM & Tailpiece,Molded Nut 42mm,LTD Locking Tuners,EMG 81,,EMG 60
